Category,Sub-Category,Item Name,Points,Found,Item ID,Shortened Item ID,Icon,Achievements ID,Achievements Display Name
Animals,Birds - Location,Flock (10+),2,FALSE,Animals_Birds - Location_Flock (10+),Animals_Birds - Location_Flock,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Birds - Location,Flying,1,FALSE,Animals_Birds - Location_Flying,Animals_Birds - Location_Flying,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Birds - Location,Grounded,1,FALSE,Animals_Birds - Location_Grounded,Animals_Birds - Location_Grounded,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Birds - Location,Perched,1,FALSE,Animals_Birds - Location_Perched,Animals_Birds - Location_Perched,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Birds - Species,Bird of prey,2,FALSE,Animals_Birds - Species_Bird of prey,Animals_Birds - Species_Prey,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Birds - Species,Black Bird,1,FALSE,Animals_Birds - Species_Black Bird,Animals_Birds - Species_Black,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Birds - Species,Magpie,1,FALSE,Animals_Birds - Species_Magpie,Animals_Birds - Species_Magpie,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Birds - Species,Pigeon,1,FALSE,Animals_Birds - Species_Pigeon,Animals_Birds - Species_Pigeon,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Birds - Species,Seagull,2,FALSE,Animals_Birds - Species_Seagull,Animals_Birds - Species_Seagull,raven,flying|animals,Air today gone tomorrow!|Animals crackers!
Animals,Farmyard,Cow,2,FALSE,Animals_Farmyard_Cow,Animals_Farmyard_Cow,pets,farmer|animals,Me and the farmer!|Animals crackers!
Animals,Farmyard,Dog,1,FALSE,Animals_Farmyard_Dog,Animals_Farmyard_Dog,pets,farmer|animals,Me and the farmer!|Animals crackers!
Animals,Farmyard,Horse,2,FALSE,Animals_Farmyard_Horse,Animals_Farmyard_Horse,pets,farmer|animals,Me and the farmer!|Animals crackers!
Animals,Farmyard,Sheep,2,FALSE,Animals_Farmyard_Sheep,Animals_Farmyard_Sheep,pets,farmer|animals,Me and the farmer!|Animals crackers!
Buildings,Construction,Crane,2,FALSE,Buildings_Construction_Crane,Buildings_Construction_Crane,construction,builder,Bob the builder!
Buildings,Construction,Scaffolding,1,FALSE,Buildings_Construction_Scaffolding,Buildings_Construction_Scaffolding,construction,builder,Bob the builder!
Buildings,Houses,Door Black,1,FALSE,Buildings_Houses_Door Black,Buildings_Houses_Door Black,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door Blue,2,FALSE,Buildings_Houses_Door Blue,Buildings_Houses_Door Blue,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door Green,2,FALSE,Buildings_Houses_Door Green,Buildings_Houses_Door Green,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door Other,1,FALSE,Buildings_Houses_Door Other,Buildings_Houses_Door Other,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door Red,2,FALSE,Buildings_Houses_Door Red,Buildings_Houses_Door Red,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Door White,1,FALSE,Buildings_Houses_Door White,Buildings_Houses_Door White,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Houses,Painted,1,FALSE,Buildings_Houses_Painted,Buildings_Houses_Painted,home,location|rainbow,Location location location!|Over the rainbow!
Buildings,Places of Interest,Car Salesroom,1,FALSE,Buildings_Places of Interest_Car Salesroom,Buildings_Places of Interest_Salesroom,location_city,interest,Been there done that!
Buildings,Places of Interest,Carwash,1,FALSE,Buildings_Places of Interest_Carwash,Buildings_Places of Interest_Carwash,location_city,interest,Been there done that!
Buildings,Places of Interest,Church,1,FALSE,Buildings_Places of Interest_Church,Buildings_Places of Interest_Church,location_city,interest,Been there done that!
Buildings,Places of Interest,Hotel,1,FALSE,Buildings_Places of Interest_Hotel,Buildings_Places of Interest_Hotel,location_city,interest,Been there done that!
Buildings,Places of Interest,Storage Facility,2,FALSE,Buildings_Places of Interest_Storage Facility,Buildings_Places of Interest_Storage,location_city,interest,Been there done that!
Buildings,Petrol Stations,BP,1,FALSE,Buildings_Petrol Stations_BP,Buildings_Petrol Stations_BP,local_gas_station,fuel|rule,Fuel the imagination!|Rule Britannia!
Buildings,Petrol Stations,Esso/Shell,3,FALSE,Buildings_Petrol Stations_Esso/Shell,Buildings_Petrol Stations_Esso/Shell,local_gas_station,fuel,Fuel the imagination!
Buildings,Petrol Stations,Other,1,FALSE,Buildings_Petrol Stations_Other,Buildings_Petrol Stations_Other,local_gas_station,fuel,Fuel the imagination!
Buildings,Pubs and Bars,Animal,2,FALSE,Buildings_Pubs and Bars_Animal,Buildings_Pubs and Bars_Animal,sports_bar,pub|animals,Cheers!|Animals crackers!
Buildings,Pubs and Bars,Name/Royal,2,FALSE,Buildings_Pubs and Bars_Name/Royal,Buildings_Pubs and Bars_Name_Royal,sports_bar,pub,Cheers!
Buildings,Pubs and Bars,Object,2,FALSE,Buildings_Pubs and Bars_Object,Buildings_Pubs and Bars_Object,sports_bar,pub,Cheers!
Buildings,Shops,Barber/Hairdresser,2,FALSE,Buildings_Shops_Barber/Hairdresser,Buildings_Shops_Hairdresser,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,Burger King,1,FALSE,Buildings_Shops_Burger King,Buildings_Shops_Burger King,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,Coffee Shop,1,FALSE,Buildings_Shops_Coffee Shop,Buildings_Shops_Coffee Shop,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,Fashion,2,FALSE,Buildings_Shops_Fashion,Buildings_Shops_Fashion,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,Florist,2,FALSE,Buildings_Shops_Florist,Buildings_Shops_Florist,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,KFC,1,FALSE,Buildings_Shops_KFC,Buildings_Shops_KFC,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,McDonalds,1,FALSE,Buildings_Shops_McDonalds,Buildings_Shops_McDonalds,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,Off Licence/Corner Shop,2,FALSE,Buildings_Shops_Off Licence/Corner Shop,Buildings_Shops_Off Licence,storefront,shop_drop|pub,Shop 'til you drop!|Cheers!
Buildings,Shops,Pet Shop/Grooming,2,FALSE,Buildings_Shops_Pet Shop/Grooming,Buildings_Shops_Pet Shop,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,Pharmacy,2,FALSE,Buildings_Shops_Pharmacy,Buildings_Shops_Pharmacy,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,Pizza,2,FALSE,Buildings_Shops_Pizza,Buildings_Shops_Pizza,storefront,shop_drop,Shop 'til you drop!
Buildings,Shops,Vape/Person Vaping,2,FALSE,Buildings_Shops_Vape/Person Vaping,Buildings_Shops_Vape,storefront,shop_drop,Shop 'til you drop!
Car,Colours,Brown,1,FALSE,Car_Colours_Brown,Car_Colours_Brown,palette,rainbow,Over the rainbow!
Car,Colours,Green,1,FALSE,Car_Colours_Green,Car_Colours_Green,palette,rainbow,Over the rainbow!
Car,Colours,Orange,2,FALSE,Car_Colours_Orange,Car_Colours_Orange,palette,rainbow,Over the rainbow!
Car,Colours,Pink,4,FALSE,Car_Colours_Pink,Car_Colours_Pink,palette,rainbow,Over the rainbow!
Car,Colours,Purple,3,FALSE,Car_Colours_Purple,Car_Colours_Purple,palette,rainbow,Over the rainbow!
Car,Colours,Two-toned,1,FALSE,Car_Colours_Two-toned,Car_Colours_Two-toned,palette,rainbow,Over the rainbow!
Car,Colours,Yellow,1,FALSE,Car_Colours_Yellow,Car_Colours_Yellow,palette,rainbow,Over the rainbow!
Car,External Items,Bike on a boot,1,FALSE,Car_External Items_Bike on a boot,Car_External Items_Bike-boot,directions_car,bike,On yer bike!
Car,External Items,Bike on a roof rack,1,FALSE,Car_External Items_Bike on a roof rack,Car_External Items_Bike-roof,directions_car,bike,On yer bike!
Car,External Items,Car with advertising on it,1,FALSE,Car_External Items_Car with advertising on it,Car_External Items_Advertising,directions_car,,
Car,External Items,Convertible,1,FALSE,Car_External Items_Convertible,Car_External Items_Convertible,directions_car,,
Car,External Items,Damaged,1,FALSE,Car_External Items_Damaged,Car_External Items_Damaged,directions_car,park_mate,You can't park there mate!
Car,External Items,Double Exhaust,1,FALSE,Car_External Items_Double Exhaust,Car_External Items_Double Exhaust,directions_car,,
Car,External Items,Hazard lights on,1,FALSE,Car_External Items_Hazard lights on,Car_External Items_Hazard,directions_car,park_mate,You can't park there mate!
Car,External Items,Poppy,2,FALSE,Car_External Items_Poppy,Car_External Items_Poppy,directions_car,poppy,Lest we forget!
Car,External Items,Roof Storage Pod,1,FALSE,Car_External Items_Roof Storage Pod,Car_External Items_Roof Storage,directions_car,,
Car,External Items,Spoiler,1,FALSE,Car_External Items_Spoiler,Car_External Items_Spoiler,directions_car,,
Car,Internal Items,Car seat,2,FALSE,Car_Internal Items_Car seat,Car_Internal Items_Car seat,airline_seat_recline_normal,,
Car,Internal Items,Clothes hanging in car,2,FALSE,Car_Internal Items_Clothes hanging in car,Car_Internal Items_Clothes,airline_seat_recline_normal,,
Car,Internal Items,Filled to the brim,2,FALSE,Car_Internal Items_Filled to the brim,Car_Internal Items_Filled,airline_seat_recline_normal,,
Car,Models,Audi,1,FALSE,Car_Models_Audi,Car_Models_Audi,car_tag,top_gear,Top Gear!
Car,Models,Bentley/Sports Car,3,FALSE,Car_Models_Bentley/Sports Car,Car_Models_Bentley,car_tag,top_gear,Top Gear!
